Crater	Habits Die Slow	Talk to Me so I Can Fall Asleep	4:10:00
Small Black	Limits of Desire	Limits of Desire	3:55:00
Thundercat	Song for the Dead	The Beyond / Where the Giants Roam	2:48:00
School Of Seven Bells	Open Your Eyes	SVIIB	4:19:00
Troller	Storm Maker	Graphic	6:15:00
Steve Hauschildt	Already Replaced	Tragedy & Geometry	4:3:00
Blanck Mass	Cruel Sport	Dumb Flesh	8:41:00
Mount Kimbie	Adriatic - Klaus Remix	Carbonated	5:35:00
Sky Ferreira	You’re Not The One	Night Time, My Time	3:55:00
Desaparecidos	Search the Searches	Payola	2:31:00
Boards of Canada	Chromakey Dreamcoat	The Campfire Headphase	5:47:00
Dirty Projectors	Temecula Sunrise	Bitte Orca	5:5:00
Deerhunter	Living My Life	Fading Frontier	3:49:00
Car Seat Headrest	The Ballad of the Costa Concordia	Teens Of Denial	11:30:00
Jack Garratt	The Love You're Given	Phase	5:0:00
Destroyer	Kaputt	Kaputt	6:17:00
The Mountain Goats	For the Portuguese Goth Metal Bands	Goths	4:9:00
Kendrick Lamar	untitled 07 2014 - 2016	untitled unmastered.	8:16:00
Kirin J Callinan	Friend Of Lindy Morrison	Bravado	4:3:00
Lapalux	Flickering	Flickering	3:31:00
Anna Meredith	Taken	Varmints	4:50:00
The Airborne Toxic Event	Wrong	Dope Machines	4:15:00
Them Are Us Too	Us Now	Remain	5:21:00
clipping.	Baby Don't Sleep	Splendor & Misery	3:7:00
Tidus	No Matter What	Soon You'll Understand	3:15:00
Funkadelic	Good Thoughts, Bad Thoughts	Standing On The Verge Of Getting It On	9:24:00
clipping. feat. jalene goodwin	bullshit (feat. jalene goodwin)	midcity	3:49:00
Atari Teenage Riot	Modern Liars - Fuck Buttons Remix	Modern Liars	4:0:00
Foxygen	Oh No	We Are the 21st Century Ambassadors of Peace & Magic	5:21:00
Sudan Archives	Water	Water	2:4:00
Brian Eno	Needles In The Camel's Eye - 2004 Digital Remaster	Here Come The Warm Jets	3:11:00
Son Lux	Build A Pyre (Begin Again)	Alternate Worlds	4:3:00
King Krule	The Cadet Leaps	The OOZ	4:21:00
Tobacco	Hong	Sweatbox Dynasty	1:9:00
John Cooper Clarke	I Wanna Be Yours	The Very Best Of	2:2:00
King Krule	The Locomotive	The OOZ	2:51:00
King Gizzard & The Lizard Wizard	Rattlesnake	Rattlesnake	7:48:00
Wolf Parade	Dinner Bells	Apologies to the Queen Mary (Deluxe Edition)	7:34:00
Midlake	Young Bride	The Trials Of Van Occupanther	4:51:00
HEALTH	FLESH WORLD (UK)	DEATH MAGIC	3:54:00
Methyl Ethel	Femme Maison/One Man House	Everything Is Forgotten	4:3:00
Four Tet	You Are Loved	New Energy	6:8:00
Aristophanes	Queen In The Wonderland	Humans Become Machines	3:40:00
of Montreal	Island Life	Rune Husk	5:6:00
Mac DeMarco	Chamber of Reflection (Live)	Ce sentiment de l'été (Bande originale du film)	3:46:00
Ugly Casanova	Cat Faces	Sharpen Your Teeth (Bonus Track Version)	3:36:00
Lotus Plaza	Jet Out of the Tundra	Spooky Action At a Distance	6:33:00
Kedr Livanskiy	Razrushitelniy Krug (Destructive Cycle)	January Sun	5:28:00
St. Vincent	Hang On Me	MASSEDUCTION	2:48:00
Frank Ocean	Self Control	Blonde	4:9:00
Deaths	Saviour	Saviour	2:44:00
The Antlers	Bear	Hospice	4:3:00
Princess Nokia	Green Line	1992 Deluxe	3:50:00
